# Image point observations
# 2D pixel coordinates of GCPs in each image
# Origin: top-left of image (matches OpenCV convention)
# x increases rightward, y increases downward
# Units: pixels
# Columns: point_id  image_name  x  y

1137	IMG_0324	1710.835	1477.934
1138	IMG_0324	1930.971	1467.502
1139	IMG_0324	2468.000	1478.000
1140	IMG_0324	2702.166	1482.989
1141	IMG_0324	1459.444	1455.894
1142	IMG_0324	1084.330	1274.167
1143	IMG_0324	2342.633	1290.488
1145	IMG_0324	1472.145	1219.929
1146	IMG_0324	2251.698	1196.061
1147	IMG_0324	1573.918	1155.625
1148	IMG_0324	1936.239	1169.139
2000	IMG_0324	1787.000	1003.000
2001	IMG_0324	2150.000	1014.000
2002	IMG_0324	2457.000	1018.000
2003	IMG_0324	916.000		967.000
2004	IMG_0324	1390.000	982.000
2005	IMG_0324	1888.000	996.000
2006	IMG_0324	2322.000	992.000
2007	IMG_0324	2440.000	986.000
2008	IMG_0324	1236.000	937.000
2009	IMG_0324	837.000		908.000
2010	IMG_0324	1889.000	943.000
2011	IMG_0324	1623.000	935.000
2012	IMG_0324	1091.000	916.000
2013	IMG_0324	1341.000	922.000
2014	IMG_0324	2510.000	953.000
2015	IMG_0324	2741.000	956.000
2016	IMG_0324	1992.000	920.000
2017	IMG_0324	738.000		841.000
2018	IMG_0324	1926.000	881.000
2019	IMG_0324	1294.000	860.000
2020	IMG_0324	2540.000	893.000
2021	IMG_0324	2242.000	886.000
2022	IMG_0324	2371.000	859.000
2023	IMG_0324	801.000		809.000
2024	IMG_0324	951.000		786.000
2025	IMG_0324	642.000		775.000
2026	IMG_0324	2921.000	828.000
2027	IMG_0324	1557.000	796.000
2028	IMG_0324	2613.000	820.000
2029	IMG_0324	1899.000	803.000
2030	IMG_0324	1228.000	780.000
2031	IMG_0324	2804.000	802.000
2032	IMG_0324	1376.000	766.000
2033	IMG_0324	1174.536	701.293
2034	IMG_0324	1900.867	721.717
2035	IMG_0324	2314.964	731.993
